key,page,page_link,english,translation,context,source_locations
fire-iq-tools-live-viewer.tool.navigation.e2b52eb8,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Tool navigation,,nav[aria-label],fire-iq/tools/live-viewer/index.html:13
fire-iq-tools-live-viewer.use.connect.to.choose.the.serial.device.37847e6e,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,"Use Connect to choose the serial device for a YPOD. The Arduino may appear under different names, such as CDC, UNO, Arduino, or USB Serial. Fire-IQ can connect two pods at once.",,JavaScript UI text,assets/js/core/live-viewer-tour.js:69
fire-iq-tools-live-viewer.use.connect.to.choose.the.serial.device.fe854073,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Use Connect to choose the serial device for your YPOD.,,JavaScript UI text,assets/js/core/live-viewer-tour.js:11
fire-iq-tools-live-viewer.use.connect.to.choose.the.serial.device.2b7e08fd,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,"Use Connect to choose the serial device for your YPOD. The Arduino may appear under different names, such as CDC, UNO, Arduino, or USB Serial.",,JavaScript UI text,assets/js/core/live-viewer-tour.js:57
fire-iq-tools-live-viewer.use.firefox.or.chrome.239ddd06,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Use Firefox or Chrome,,JavaScript UI text,assets/js/core/browser-warning.js:22
fire-iq-tools-live-viewer.waiting.for.serial.data.7df806fd,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Waiting for serial data...,,JavaScript UI text,assets/js/viewers/fireiq-live-viewer.js:274
fire-iq-tools-live-viewer.walk.through.the.live.viewer.controls.and.3c50da27,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Walk through the live viewer controls and graph area before you connect.,,JavaScript UI text,assets/js/core/live-viewer-tour.js:93
fire-iq-tools-live-viewer.want.a.quick.tour.e0cad51a,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Want a quick tour?,,JavaScript UI text,assets/js/core/live-viewer-tour.js:92
fire-iq-tools-live-viewer.web.serial.is.not.available.in.this.672d303c,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Web Serial is not available in this browser.,,JavaScript UI text,assets/js/core/serial-lines.js:19
fire-iq-tools-live-viewer.web.serial.unavailable.1c6d7cf9,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Web Serial unavailable,,JavaScript UI text,assets/js/viewers/fireiq-live-viewer.js:120
fire-iq-tools-live-viewer.yaml.request.failed.with.response.status.212867c6,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML request failed with ${response.status},,JavaScript UI text,assets/js/core/ypod-yaml.js:82
fire-iq-tools-live-viewer.yaml.source.54b3fe7d,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML source,,span text,fire-iq/tools/live-viewer/index.html:59
fire-iq-tools-live-viewer.yaml.source.help.d018069c,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML source help,,span[aria-label],fire-iq/tools/live-viewer/index.html:59
fire-iq-tools-live-viewer.yaml.type.a8418b59,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML type,,span text,fire-iq/tools/live-viewer/index.html:54
fire-iq-tools-live-viewer.yaml.type.help.0c744245,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML type help,,span[aria-label],fire-iq/tools/live-viewer/index.html:54
fire-iq-tools-live-viewer.yaml.version.e14975ea,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML version,,span text,fire-iq/tools/live-viewer/index.html:49
fire-iq-tools-live-viewer.yaml.version.help.7633a987,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YAML version help,,span[aria-label],fire-iq/tools/live-viewer/index.html:49
fire-iq-tools-live-viewer.ypod.headerlog.yaml.9895898d,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,YPOD_HeaderLog.yaml,,a text,fire-iq/tools/live-viewer/index.html:60
