key,page,page_link,english,translation,context,source_locations
aqiq-tools-co2-battle.haq.lab.university.of.colorado.dee0c56d,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,"HAQ Lab, University of Colorado",,span text,aqiq/tools/co2-battle/index.html:134
aqiq-tools-co2-battle.live.65c821a5,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Live,,p text,aqiq/tools/co2-battle/index.html:114; aqiq/tools/co2-battle/index.html:94
aqiq-tools-co2-battle.live.viewer.cea59129,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Live Viewer,,a text,aqiq/tools/co2-battle/index.html:14
aqiq-tools-co2-battle.live.ypod.measurement.comparison.efff1e2a,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Live YPOD measurement comparison,,section[aria-label],aqiq/tools/co2-battle/index.html:90
aqiq-tools-co2-battle.live.pod.samplecount.tolocalestring.sample.pod.samplecount.af40f860,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,"Live · ${pod.sampleCount.toLocaleString()} sample${pod.sampleCount === 1 ? """" : ""s""}",,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:273
aqiq-tools-co2-battle.loading.ypod.schema.8d8c1ab3,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Loading YPOD schema…,,span text,aqiq/tools/co2-battle/index.html:79
aqiq-tools-co2-battle.measurement.help.be68ed57,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Measurement help,,span[aria-label],aqiq/tools/co2-battle/index.html:72
aqiq-tools-co2-battle.measurement.to.compare.66adadcc,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Measurement to compare,,span text,aqiq/tools/co2-battle/index.html:72
aqiq-tools-co2-battle.not.connected.8b02f3de,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Not connected,,JavaScript UI text; div text,aqiq/tools/co2-battle/index.html:44; aqiq/tools/co2-battle/index.html:54; assets/js/viewers/aqiq-co2-battle.js:233
aqiq-tools-co2-battle.place.each.pod.near.the.source.you.c48941c0,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Place each pod near the source you want to compare.,,li text,aqiq/tools/co2-battle/index.html:31
aqiq-tools-co2-battle.pod.1.da3053e4,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Pod 1,,h2 text,aqiq/tools/co2-battle/index.html:93
aqiq-tools-co2-battle.pod.1.name.e93095db,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Pod 1 name,,span text,aqiq/tools/co2-battle/index.html:39
aqiq-tools-co2-battle.pod.2.9faafcf5,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Pod 2,,h2 text,aqiq/tools/co2-battle/index.html:113
aqiq-tools-co2-battle.pod.2.name.6c4a8199,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Pod 2 name,,span text,aqiq/tools/co2-battle/index.html:49
aqiq-tools-co2-battle.ppm.f1ea4438,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,ppm,,span text,aqiq/tools/co2-battle/index.html:108; aqiq/tools/co2-battle/index.html:116; aqiq/tools/co2-battle/index.html:128; aqiq/tools/co2-battle/index.html:87; aqiq/tools/co2-battle/index.html:96
aqiq-tools-co2-battle.reset.round.507bbe4b,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Reset round,,button text,aqiq/tools/co2-battle/index.html:85
